Manufacturer,Series,Focal Length,T-Stop,Prime / Zoom / Special,Format,Mount,Anamorphic / Spherical,Anamorphic Squeeze Factor,Anamorphic Location,Housing,Front Diameter (mm),Close Focus,Length (in),Film Compatibility,Image Circle (mm),Iris Blade Count,Extender,LDS,i/Data,Support Recommended,Support Post Length (mm),Weight (lbs),Manufacture Year,Expander,Heden Motor Size,Size,Notes,Use Case,Look,Bokeh,Flare,Focus Falloff,Breathing,Focus Scale,Original Name,Needs Review,Confidence Score
Cooke,,50,T2.8,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,50mm Cooke Mini S4 T2.8,True,0.5789473684210527
Cooke,,65,T2.8,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,65mm Cooke Mini S4 T2.8,True,0.5789473684210527
Cooke,,75,T2.8,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,75mm Cooke Mini S4 T2.8,True,0.5789473684210527
Cooke,,15-40,T2.0,Zoom,,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,15-40mm Cooke S4 Zoom T2.0,False,0.7727272727272727
Cooke,S4/I,12,T2.0,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,12mm Cooke S4/i T2.0,False,0.8235294117647058
Cooke,,100,T1.10,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,100mm Cooke 5i T1.10,False,0.7647058823529411
Cooke,,100,T1.11,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,100mm Cooke 5i T1.11,False,0.7647058823529411
Cooke,,100,T1.12,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,100mm Cooke 5i T1.12,False,0.7647058823529411
Cooke,,100,T1.13,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,100mm Cooke 5i T1.13,False,0.7647058823529411
Cooke,,135,T1.10,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,135mm Cooke 5i T1.10,False,0.7647058823529411
Cooke,,10-30,T1.6,Zoom,,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,10-30mm Cooke Zoom T1.6,False,0.85
Cooke,,150,T2.0,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,150mm Cooke S4 T2.0,False,0.75
Cooke,,18,T1.10,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,18mm Cooke 5i T1.10,False,0.75
Cooke,,18,T1.11,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,18mm Cooke 5i T1.11,False,0.75
Cooke,,18,T1.12,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,18mm Cooke 5i T1.12,False,0.75
Cooke,,18,T1.13,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,18mm Cooke 5i T1.13,False,0.75
Cooke,,25,T1.10,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,25mm Cooke 5i T1.10,False,0.75
Cooke,,25,T1.11,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,25mm Cooke 5i T1.11,False,0.75
Cooke,,25,T1.12,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,25mm Cooke 5i T1.12,False,0.75
Cooke,,25,T1.13,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,25mm Cooke 5i T1.13,False,0.75
Cooke,,32,T1.10,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,32mm Cooke 5i T1.10,False,0.75
Cooke,,32,T1.11,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,32mm Cooke 5i T1.11,False,0.75
Cooke,,32,T1.12,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,32mm Cooke 5i T1.12,False,0.75
Cooke,,32,T1.13,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,32mm Cooke 5i T1.13,False,0.75
Cooke,,40,T1.10,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,40mm Cooke 5i T1.10,False,0.75
Cooke,,40,T1.11,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,40mm Cooke 5i T1.11,False,0.75
Cooke,,40,T1.12,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,40mm Cooke 5i T1.12,False,0.75
Cooke,,40,T1.13,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,40mm Cooke 5i T1.13,False,0.75
Cooke,,50,T1.10,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,50mm Cooke 5i T1.10,False,0.75
Cooke,,50,T1.11,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,50mm Cooke 5i T1.11,False,0.75
Cooke,,50,T1.12,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,50mm Cooke 5i T1.12,False,0.75
Cooke,,50,T1.13,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,50mm Cooke 5i T1.13,False,0.75
Cooke,,65,T1.10,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,65mm Cooke 5i T1.10,False,0.75
Cooke,,65,T1.11,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,65mm Cooke 5i T1.11,False,0.75
Cooke,,65,T1.12,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,65mm Cooke 5i T1.12,False,0.75
Cooke,,65,T1.13,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,65mm Cooke 5i T1.13,False,0.75
Cooke,,75,T1.10,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,75mm Cooke 5i T1.10,False,0.75
Cooke,,75,T1.11,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,75mm Cooke 5i T1.11,False,0.75
Cooke,,75,T1.12,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,75mm Cooke 5i T1.12,False,0.75
Cooke,,75,T1.13,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,75mm Cooke 5i T1.13,False,0.75
Cooke,,100,T1.4,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,100mm Cooke 5i T1.4,False,0.75
Cooke,,100,T1.5,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,100mm Cooke 5i T1.5,False,0.75
Cooke,,100,T1.6,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,100mm Cooke 5i T1.6,False,0.75
Cooke,,100,T1.7,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,100mm Cooke 5i T1.7,False,0.75
Cooke,,100,T1.8,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,100mm Cooke 5i T1.8,False,0.75
Cooke,,100,T1.9,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,100mm Cooke 5i T1.9,False,0.75
Cooke,,135,T1.4,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,135mm Cooke 5i T1.4,False,0.75
Cooke,,135,T1.5,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,135mm Cooke 5i T1.5,False,0.75
Cooke,,135,T1.6,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,135mm Cooke 5i T1.6,False,0.75
Cooke,,135,T1.7,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,135mm Cooke 5i T1.7,False,0.75
Cooke,,135,T1.8,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,135mm Cooke 5i T1.8,False,0.75
Cooke,,135,T1.9,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,135mm Cooke 5i T1.9,False,0.75
Cooke,,20-100,T3.1,Zoom,,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,20-100mm Cooke T3.1,False,0.8235294117647058
Cooke,,20-100,T3.1,Zoom,,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,20-100mm Cooke T3.1,False,0.8235294117647058
Cooke,,100,T2.0,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,100mm Cooke S7 T2.0,False,0.75
Cooke,,135,T2.0,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,135mm Cooke S7 T2.0,False,0.75
Cooke,,180,T2.0,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,180mm Cooke S7 T2.0,False,0.75
Cooke,,300,T3.3,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,300mm Cooke S7 T3.3,False,0.75
Cooke,,100,T1.4,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,100mm Cooke S8 T1.4,False,0.75
Cooke,,135,T1.4,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,135mm Cooke S8 T1.4,False,0.75
Cooke,Sk4,12,T2.0,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,12mm Cooke SK4 T2.0,False,0.875
Cooke,,18,T1.4,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,18mm Cooke 5i T1.4,False,0.7333333333333333
Cooke,,18,T1.5,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,18mm Cooke 5i T1.5,False,0.7333333333333333
Cooke,,18,T1.6,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,18mm Cooke 5i T1.6,False,0.7333333333333333
Cooke,,18,T1.7,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,18mm Cooke 5i T1.7,False,0.7333333333333333
Cooke,,18,T1.8,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,18mm Cooke 5i T1.8,False,0.7333333333333333
Cooke,,18,T1.9,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,18mm Cooke 5i T1.9,False,0.7333333333333333
Cooke,,25,T1.4,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,25mm Cooke 5i T1.4,False,0.7333333333333333
Cooke,,25,T1.5,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,25mm Cooke 5i T1.5,False,0.7333333333333333
Cooke,,25,T1.6,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,25mm Cooke 5i T1.6,False,0.7333333333333333
Cooke,,25,T1.7,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,25mm Cooke 5i T1.7,False,0.7333333333333333
Cooke,,25,T1.8,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,25mm Cooke 5i T1.8,False,0.7333333333333333
Cooke,,25,T1.9,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,25mm Cooke 5i T1.9,False,0.7333333333333333
Cooke,,32,T1.5,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,32mm Cooke 5i T1.5,False,0.7333333333333333
Cooke,,32,T1.4,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,32mm Cooke 5i T1.4,False,0.7333333333333333
Cooke,,32,T1.6,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,32mm Cooke 5i T1.6,False,0.7333333333333333
Cooke,,32,T1.7,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,32mm Cooke 5i T1.7,False,0.7333333333333333
Cooke,,32,T1.8,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,32mm Cooke 5i T1.8,False,0.7333333333333333
Cooke,,32,T1.9,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,32mm Cooke 5i T1.9,False,0.7333333333333333
Cooke,,40,T1.4,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,40mm Cooke 5i T1.4,False,0.7333333333333333
Cooke,,40,T1.5,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,40mm Cooke 5i T1.5,False,0.7333333333333333
Cooke,,40,T1.6,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,40mm Cooke 5i T1.6,False,0.7333333333333333
Cooke,,40,T1.7,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,40mm Cooke 5i T1.7,False,0.7333333333333333
Cooke,,40,T1.8,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,40mm Cooke 5i T1.8,False,0.7333333333333333
Cooke,,40,T1.9,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,40mm Cooke 5i T1.9,False,0.7333333333333333
Cooke,,50,T1.5,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,50mm Cooke 5i T1.5,False,0.7333333333333333
Cooke,,50,T1.4,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,50mm Cooke 5i T1.4,False,0.7333333333333333
Cooke,,50,T1.6,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,50mm Cooke 5i T1.6,False,0.7333333333333333
Cooke,,50,T1.7,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,50mm Cooke 5i T1.7,False,0.7333333333333333
Cooke,,50,T1.8,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,50mm Cooke 5i T1.8,False,0.7333333333333333
Cooke,,50,T1.9,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,50mm Cooke 5i T1.9,False,0.7333333333333333
Cooke,,65,T1.4,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,65mm Cooke 5i T1.4,False,0.7333333333333333
Cooke,,65,T1.5,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,65mm Cooke 5i T1.5,False,0.7333333333333333
Cooke,,65,T1.6,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,65mm Cooke 5i T1.6,False,0.7333333333333333
Cooke,,65,T1.8,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,65mm Cooke 5i T1.8,False,0.7333333333333333
Cooke,,65,T1.9,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,65mm Cooke 5i T1.9,False,0.7333333333333333
Cooke,,65,T1.7,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,65mm Cooke 5i T1.7,False,0.7333333333333333
Cooke,,75,T1.4,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,75mm Cooke 5i T1.4,False,0.7333333333333333
Cooke,,75,T1.5,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,75mm Cooke 5i T1.5,False,0.7333333333333333
Cooke,,75,T1.7,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,75mm Cooke 5i T1.7,False,0.7333333333333333
Cooke,,75,T1.8,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,75mm Cooke 5i T1.8,False,0.7333333333333333
Cooke,,75,T1.6,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,75mm Cooke 5i T1.6,False,0.7333333333333333
Cooke,,75,T1.9,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,75mm Cooke 5i T1.9,False,0.7333333333333333
Cooke,,16,T2.0,Prime,16MM,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,16mm Cooke S7 T2.0,False,0.7333333333333333
Cooke,,18,T2.0,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,18mm Cooke S7 T2.0,False,0.7333333333333333
Cooke,,21,T2.0,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,21mm Cooke S7 T2.0,False,0.7333333333333333
Cooke,,25,T2.0,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,25mm Cooke S7 T2.0,False,0.7333333333333333
Cooke,,27,T2.0,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,27mm Cooke S7 T2.0,False,0.7333333333333333
Cooke,,32,T2.0,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,32mm Cooke S7 T2.0,False,0.7333333333333333
Cooke,,40,T2.0,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,40mm Cooke S7 T2.0,False,0.7333333333333333
Cooke,,50,T2.0,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,50mm Cooke S7 T2.0,False,0.7333333333333333
Cooke,,65,T2.0,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,65mm Cooke S7 T2.0,False,0.7333333333333333
Cooke,,75,T2.0,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,75mm Cooke S7 T2.0,False,0.7333333333333333
Cooke,,18,T1.4,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,18mm Cooke S8 T1.4,False,0.7333333333333333
Cooke,,21,T1.4,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,21mm Cooke S8 T1.4,False,0.7333333333333333
Cooke,,25,T1.4,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,25mm Cooke S8 T1.4,False,0.7333333333333333
Cooke,,27,T1.4,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,27mm Cooke S8 T1.4,False,0.7333333333333333
Cooke,,27,T1.6,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,27mm Cooke S8 T1.6,False,0.7333333333333333
Cooke,,27,T1.7,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,27mm Cooke S8 T1.7,False,0.7333333333333333
Cooke,,27,T1.8,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,27mm Cooke S8 T1.8,False,0.7333333333333333
Cooke,,32,T1.4,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,32mm Cooke S8 T1.4,False,0.7333333333333333
Cooke,,35,T1.4,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,35mm Cooke S8 T1.4,False,0.7333333333333333
Cooke,,40,T1.4,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,40mm Cooke S8 T1.4,False,0.7333333333333333
Cooke,,50,T1.4,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,50mm Cooke S8 T1.4,False,0.7333333333333333
Cooke,,65,T1.4,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,65mm Cooke S8 T1.4,False,0.7333333333333333
Cooke,,75,T1.4,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,75mm Cooke S8 T1.4,False,0.7333333333333333
Cooke,Sk4,6,T2.0,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,6mm Cooke SK4 T2.0,False,0.8666666666666667
Cooke,Varotal,18-100,T3.0,Zoom,,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,18-100mm Cooke Varotal T3.0,False,0.875
Cooke,,100,T2.8,Prime,,,Spherical,,,Tls,,,,,,,,,,,,,,,,,,,,,,,,,100mm Cooke Speed Panchro T2.8 TLS,True,0.4137931034482758
Cooke,,18,T2.2,Prime,,,Spherical,,,Tls,,,,,,,,,,,,,,,,,,,,,,,,,18mm Cooke Speed Panchro T2.2  TLS,True,0.3928571428571428
Cooke,,25,T2.2,Prime,,,Spherical,,,Tls,,,,,,,,,,,,,,,,,,,,,,,,,25mm Cooke Speed Panchro T2.2 TLS,True,0.3928571428571428
Cooke,,32,T2.3,Prime,,,Spherical,,,Tls,,,,,,,,,,,,,,,,,,,,,,,,,32mm Cooke Speed Panchro T2.3 TLS,True,0.3928571428571428
Cooke,,40,T2.3,Prime,,,Spherical,,,Tls,,,,,,,,,,,,,,,,,,,,,,,,,40mm Cooke Speed Panchro T2.3 TLS,True,0.3928571428571428
Cooke,,50,T2.3,Prime,,,Spherical,,,Tls,,,,,,,,,,,,,,,,,,,,,,,,,50mm Cooke Speed Panchro T2.3 TLS,True,0.3928571428571428
Cooke,,75,T2.2,Prime,,,Spherical,,,Tls,,,,,,,,,,,,,,,,,,,,,,,,,75mm Cooke Speed Panchro T2.2 TLS,True,0.3928571428571428
Cooke,,25,T2.2,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,25mm Cooke Speed Panchro T2.2,True,0.44
Cooke,,50,T2.3,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,50mm Cooke Speed Panchro T2.3,True,0.44
Cooke,,75,T2.3,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,75mm Cooke Speed Panchro T2.3,True,0.44
Dzofilm,Gnosis,24,T2.8,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,,Macro,,,,,,,24mm DZOFilms Gnosis Macro Prime T2.8,False,0.75
Dzofilm,Gnosis,32,T2.8,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,,Macro,,,,,,,32mm DZOFilms Gnosis Macro Prime T2.8,False,0.75
Dzofilm,Gnosis,65,T2.8,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,,Macro,,,,,,,65mm DZOFilms Gnosis Macro Prime T2.8,False,0.75
Dzofilm,Gnosis,90,T2.8,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,,Macro,,,,,,,90mm DZOFilms Gnosis Macro Prime T2.8,False,0.75
Dzofilm,Pavo,28,T2.1,Prime,FF,,Anamorphic,,,,,,,,,,,,,,,,,,,,,,,,,,,,28mm DZOFilms Pavo FF Anamorphic T2.1,True,0.53125
Dzofilm,,70-135,T2.9,Zoom,VV,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,70-135mm DZOFilms Catta Ace VV Zoom T2.9,True,0.5882352941176471
Dzofilm,,35-80,T2.9,Zoom,VV,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,35-80mm DZOFilms Catta Ace VV Zoom T2.9,True,0.5757575757575758
Fujinon,HD HA25x16.5 BERD-S18,25,,Zoom,,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fujinon HD HA25x16.5 BERD-S18,False,1.0
Fujinon,HD HA42x9.7 ERD-U48,42,,Zoom,,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fujinon HD HA42x9.7 ERD-U48,False,1.0
Fujinon,HD HA13x4.5 BERM,13,,Zoom,,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fujinon HD HA13x4.5 BERM,False,1.0
Fujinon,HD HA18x7.6 BERM,18,,Zoom,,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fujinon HD HA18x7.6 BERM,False,1.0
Fujinon,HD HA22x7.8 BERM,22,,Zoom,,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fujinon HD HA22x7.8 BERM,False,1.0
Fujinon,HD ZA12x4.5 BERM,12,,Zoom,,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fujinon HD ZA12x4.5 BERM,False,1.0
Fujinon,HD ZA17x7.6 ERM,17,,Zoom,,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fujinon HD ZA17x7.6 ERM,False,1.0
Fujinon,HD ZA22x7.6 ERM,22,,Zoom,,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fujinon HD ZA22x7.6 ERM,False,1.0
Fujinon,Alura,15.5-45,T2.8,Zoom,,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.5-45mm Arri Alura Fujinon Zoom T2.8,False,0.7878787878787878
Fujinon,Alura,45-250,T2.6,Zoom,,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,45-250mm Arri Alura Fujinon Zoom T2.6,False,0.78125
Fujinon,Alura,18-80,T2.6,Zoom,,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,18-80mm Arri Alura Fujinon Zoom T2.6,False,0.7741935483870968
Fujinon,Alura,30-80,T2.8,Zoom,,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,30-80mm Arri Alura Fujinon Zoom T2.8,False,0.7741935483870968
Fujinon,,24-300,T2.9,Zoom,,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,24-300mm Fujinon Duvo HZK T2.9,False,0.6153846153846154
Fujinon,,28-100,T2.9,Zoom,,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,28-100mm Fujinon Premista Zoom T2.9,False,0.6451612903225806
Fujinon,,80-250,T2.9,Zoom,,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,80-250mm Fujinon Premista Zoom T2.9,False,0.6451612903225806
Fujinon,Premier,24-180,T2.6,Zoom,,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,24-180mm Fujinon Premier Zoom T2.6,False,0.9
Fujinon,Premier,75-400,T2.8,Zoom,,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,75-400mm Fujinon Premier Zoom T2.8,False,0.9
Fujinon,,19-45,T2.9,Zoom,,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,19-45mm Fujinon Premista Zoom T2.9,False,0.6333333333333333
Fujinon,Cabrio,20-120,T3.5,Zoom,,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,20-120mm Fujinon Cabrio Zoom T3.5,False,0.896551724137931
Fujinon,Cabrio,25-300,T3.5,Zoom,,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,25-300mm Fujinon Cabrio Zoom T3.5,False,0.896551724137931
Fujinon,Cabrio,85-300,T2.9,Zoom,,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,85-300mm Fujinon Cabrio Zoom T2.9,False,0.896551724137931
Fujinon,Premier,14.5-45,T2,Zoom,,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.5-45mm Fujinon Premier Zoom T2,False,0.896551724137931
Fujinon,Cabrio,14-35,T2.9,Zoom,,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,14-35mm Fujinon Cabrio Zoom T2.9,False,0.8928571428571429
Fujinon,Cabrio,19-90,T2.9,Zoom,,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,19-90mm Fujinon Cabrio Zoom T2.9,False,0.8928571428571429
Fujinon,Premier,18-85,T2,Zoom,,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,18-85mm Fujinon Premier Zoom T2,False,0.8888888888888888
Gecko-Cam,Genesis G35,100,T2.9,Prime,FF,,Spherical,,,,,,,,,,,,,,,,,,,,,Macro,Vintage,,,,,,100mm Gecko-Cam  Genesis G35 Vintage '66 FF MACRO T2.9,True,0.5555555555555556
Gecko-Cam,Genesis G35,14.5,T3.0,Prime,FF,,Spherical,,,,,,,,,,,,,,,,,,,,,,Vintage,,,,,,14.5mm Gecko-Cam  Genesis G35 Vintage '66 FF Version 2 T3.0,True,0.5306122448979592
