
12mm Master Prime T1.3
135mm Zeiss Compact Prime CP2 T2.1
18mm Zeiss Compact Prime CP3 XD T2.9
21mm Zeiss Compact Prime CP3 CD T2.9

16mm Leitz Summilux-C T1.4
18mm Leitz Summilux-C T1.4
21mm Leitz Summilux-C T1.4
25mm Leitz Summilux-C T1.4
29mm Leitz Summilux-C T1.4
35mm Leitz Summilux-C T1.4
40mm Leitz Summilux-C T1.4
50mm Leitz Summilux-C T1.4
65mm Leitz Summilux-C MACRO T1.4
75mm Leitz Summilux-C T1.4
100mm Leitz Summilux-C T1.4
135mm Leitz Summilux-C T1.4
180mm Leica Cine T2
180mm Leica-R T2.0 - Dalsa
200mm Leica-R T2.0 - Dalsa
15mm Leitz Summicron-C T2
18mm Leitz Summicron-C T2
21mm Leitz Summicron-C T2
25mm Leitz Summicron-C T2
29mm Leitz Summicron-C T2
35mm Leitz Summicron-C T2
40mm Leitz Summicron-C T2
50mm Leitz Summicron-C T2
75mm Leitz Summicron-C T2
100mm Leitz Summicron-C T2
135mm Leitz Summicron-C T2

12mm Cooke S4/i T2.0

12mm Cooke S4 T2.0 - NO i/Data
14mm Cooke S4/i T2.0 - i/Data
14mm Cooke S4 T2.0  - NO i/Data
16mm Cooke S4/i T2.0 - i/Data
16mm Cooke S4 T2.0 - NO i/Data
18mm Cooke S4/i T2.0 - i/Data
18mm Cooke S4 T2.0 - NO i/Data
21mm Cooke S4/i T2.0 - i/Data
21mm Cooke S4 T2.0 - NO i/ Data
25mm Cooke S4/i T2.0 - i/Data
25mm Cooke S4 T2.0 - NO i/Data
27mm Cooke S4/i T2.0 - i/Data
27mm Cooke S4 T2.0 - NO i/Data
32mm Cooke S4/i T2.0 - i/Data
32mm Cooke S4 T2.0 - NO i/data
35mm Cooke S4/i T2.0 - i/Data
35mm Cooke S4 T2.0 - NO i/Data
40mm Cooke S4/i T2.0 - i/Data
40mm Cooke S4 T2.0 - NO i/Data
50mm Cooke S4/i T2.0 - i/Data
50mm Cooke S4 T2.0 - NO i/Data
65mm Cooke S4/i T2.0 - i/Data
65mm Cooke S4 T2.0 - NO i/Data
75mm Cooke S4/i T2.0 - i/Data
75mm Cooke S4 T2.0 - NO i/Data
100mm Cooke S4/i T2.0 - i/Data
100mm Cooke S4 T2.0 - NO i/Data
135mm Cooke S4/i T2.0 - i/Data
135mm Cooke S4 T2.0 - NO i/Data
150mm Cooke S4/i T2.0 - i/Data
150mm Cooke S4 T2.0 - NO i/Data
150mm Cooke S4 T2.0
180mm Cooke S4/i T2.0 - i/Data
180mm Cooke S4 T2.0 - NO i/Data
300mm Cooke S4/i T2.8 - i/Data
18mm Cooke S4 T2.0 - Ray Bender
25mm Cooke S4 T2.0 - Ray Bender
27mm Cooke S4 T2.0 - Ray Bender
32mm Cooke S4 T2.0 - Ray Bender
40mm Cooke S4 T2.0 - Ray Bender
50mm Cooke S4 T2.0 - Ray Bender
65mm Cooke S4 T2.0 - Ray Bender
18mm Cooke S4 T2.0 - Special FX
32mm Cooke S4 T2.0 - Special FX
14mm Cooke S4 T2.0 - Kooky Cooke
16mm Cooke S4 T2.0 - Kooky Cooke
25mm Cooke S4 T2.0 - Kooky Cooke
27mm Cooke S4 T2.0 - Kooky Cooke
32mm Cooke S4 T2.0 - Kooky Cooke
40mm Cooke S4 T2.0 - Kooky Cooke
50mm Cooke S4 T2.0 - Kooky Cooke
100mm Cooke S4 T2.0 - Kooky Cooke
18mm Cooke 5i T1.4
18mm Cooke 5i T1.5
18mm Cooke 5i T1.6
18mm Cooke 5i T1.7
18mm Cooke 5i T1.8
18mm Cooke 5i T1.9
18mm Cooke 5i T1.10
18mm Cooke 5i T1.11
18mm Cooke 5i T1.12
18mm Cooke 5i T1.13
25mm Cooke 5i T1.4
25mm Cooke 5i T1.5
25mm Cooke 5i T1.6
25mm Cooke 5i T1.7
25mm Cooke 5i T1.8
25mm Cooke 5i T1.9
25mm Cooke 5i T1.10
25mm Cooke 5i T1.11
25mm Cooke 5i T1.12
25mm Cooke 5i T1.13
32mm Cooke 5i T1.5
32mm Cooke 5i T1.4
32mm Cooke 5i T1.6
32mm Cooke 5i T1.7
32mm Cooke 5i T1.8
32mm Cooke 5i T1.9
32mm Cooke 5i T1.10
32mm Cooke 5i T1.11
32mm Cooke 5i T1.12
32mm Cooke 5i T1.13
40mm Cooke 5i T1.4
40mm Cooke 5i T1.5
40mm Cooke 5i T1.6
40mm Cooke 5i T1.7
40mm Cooke 5i T1.8
40mm Cooke 5i T1.9
40mm Cooke 5i T1.10
40mm Cooke 5i T1.11
40mm Cooke 5i T1.12
40mm Cooke 5i T1.13
50mm Cooke 5i T1.5
50mm Cooke 5i T1.4
50mm Cooke 5i T1.6
50mm Cooke 5i T1.7
50mm Cooke 5i T1.8
50mm Cooke 5i T1.9
50mm Cooke 5i T1.10
50mm Cooke 5i T1.11
50mm Cooke 5i T1.12
50mm Cooke 5i T1.13
65mm Cooke 5i T1.4
65mm Cooke 5i T1.5
65mm Cooke 5i T1.6
65mm Cooke 5i T1.8
65mm Cooke 5i T1.9
65mm Cooke 5i T1.7
65mm Cooke 5i T1.10
65mm Cooke 5i T1.11
65mm Cooke 5i T1.12
65mm Cooke 5i T1.13
75mm Cooke 5i T1.4
75mm Cooke 5i T1.5
75mm Cooke 5i T1.7
75mm Cooke 5i T1.8
75mm Cooke 5i T1.6
75mm Cooke 5i T1.9
75mm Cooke 5i T1.10
75mm Cooke 5i T1.11
75mm Cooke 5i T1.12
75mm Cooke 5i T1.13
100mm Cooke 5i T1.4
100mm Cooke 5i T1.5
100mm Cooke 5i T1.6
100mm Cooke 5i T1.7
100mm Cooke 5i T1.8
100mm Cooke 5i T1.9
100mm Cooke 5i T1.10
100mm Cooke 5i T1.11
100mm Cooke 5i T1.12
100mm Cooke 5i T1.13
135mm Cooke 5i T1.4
135mm Cooke 5i T1.5
135mm Cooke 5i T1.6
135mm Cooke 5i T1.7
135mm Cooke 5i T1.8
135mm Cooke 5i T1.9
135mm Cooke 5i T1.10
18mm Cooke Speed Panchro T2.2  TLS
25mm Cooke Speed Panchro T2.2 TLS
32mm Cooke Speed Panchro T2.3 TLS
40mm Cooke Speed Panchro T2.3 TLS
50mm Cooke Speed Panchro T2.3 TLS
75mm Cooke Speed Panchro T2.2 TLS
100mm Cooke Speed Panchro T2.8 TLS
152mm Cooke Telepanchro T3.2 TLS
25mm Cooke Speed Panchro T2.2
50mm Cooke Speed Panchro T2.3
75mm Cooke Speed Panchro T2.3
18mm COOKE PANCHRO/I CLASSIC T2.2
25mm COOKE PANCHRO/I CLASSIC T2.2
32mm COOKE PANCHRO/I CLASSIC T2.2
40mm COOKE PANCHRO/I CLASSIC T2.2
50mm COOKE PANCHRO/I CLASSIC T2.2
75mm COOKE PANCHRO/I CLASSIC T2.2 
75mm COOKE PANCHRO/I CLASSIC T2.2
100mm COOKE PANCHRO/I CLASSIC T2.6 
100mm COOKE PANCHRO/I CLASSIC T2.6
18mm Cooke Mini S4 T2.8
21mm Cooke Mini S4 T2.8
25mm Cooke Mini S4 T2.8
32mm Cooke Mini S4 T2.8
40mm Cooke Mini S4 T2.8
50mm Cooke Mini S4 T2.8
65mm Cooke Mini S4 T2.8
75mm Cooke Mini S4 T2.8
100mm Cooke Mini S4 T2.8
135mm Cooke Mini S4 T2.8

15-40mm Angenieux Optimo T2.6
15-40mm Angenieux Optimo T2.6 - MFX
16-42mm Angenieux Optimo DP T2.8
17-80mm Angenieux Optimo T2.2
17-80mm Angenieux Optimo T2.2 - MFX
19.5-94mm Angenieux Optimo T2.6
24-290mm Angenieux Optimo T2.8
25-250mm Angenieux HR T3.5
25-250mm Angenieux Vintage  T3.9
28-76mm Angenieux Optimo T2.6
28-76mm Angenieux Front (Uncoated)
28-340mm Angenieux Optimo T3.2
29-351mm Angenieux Optimo T3.5
30-80mm Angenieux Optimo DP T2.8
45-120mm Angenieux Optimo T2.8
9.5-18mm Arri Ultra Wide Zoom T2.9
15.5-45mm Arri LWZ-1 T2.6
15.5-45mm Arri LWZ-2 T2.6
15.5-45mm Arri Alura Fujinon Zoom T2.8
18-80mm Arri Alura Fujinon Zoom T2.6
30-80mm Arri Alura Fujinon Zoom T2.8
45-250mm Arri Alura Fujinon Zoom T2.6
14.5-60mm Canon Cinema Zoom T2.6
150-600mm Canon Century T5.6
15-120mm Canon CINE-SERVO T2.95-3.9 Zoom Lens
17-120mm Canon Cine-Servo T2.95 CN7X17 KAS S
25-250mm Canon T2.9 Cine-Servo Zoom Lens
50-1000mm Canon Cine-Servo T5.0 CN20X50 KAS S
25-120mm Canon K-35 Macro  Zoom T2.8
17-35mm Century Compact T3 Zoom Lens
28-70mm Century Compact Zoom T3.0
15-40mm Cooke S4 Zoom T2.0
18-100mm Cooke Varotal T3.0
20-60mm Cooke Varo-Panchro T3.1
20-100mm Cooke T3.1 
20-100mm Cooke T3.1
25-250mm Cooke Cinetal MKIII T3.7
25-250mm Cooke Cinetal Varotal MKI T3.9
25-250mm Cooke Cinetal MKII T4
11-16mm Duclos Tokina T2.8
14-35mm Fujinon Cabrio Zoom T2.9
19-90mm Fujinon Cabrio Zoom T2.9
20-120mm Fujinon Cabrio Zoom T3.5
25-300mm Fujinon Cabrio Zoom T3.5
85-300mm Fujinon Cabrio Zoom T2.9
24-300mm Fujinon Duvo HZK T2.9
14.5-45mm Fujinon Premier Zoom T2
18-85mm Fujinon Premier Zoom T2
24-180mm Fujinon Premier Zoom T2.6
75-400mm Fujinon Premier Zoom T2.8
18-35mm G.L Optics Zoom T1.8
7-14mm Olympus T2.8
12-35mm Panasonic Lumix Vario T2.8
18-35mm Sigma Cine High-Speed Zoom T2.0
50-100mm Sigma Cine High-Speed Zoom T2.0
30-72mm Angenieux A-2S Anamorphic Optimo T4 
25-250mm Angenieux Optimo Style T3.5 - Rear
42-420mm Angeneiux Anamorphic T4.5
56-152mm ANGENIEUX S2 ANAMORPHIC OPTIMO  T4
48-580mm Angenieux Optimo Anamorphic T4
50-500mm Angenieux Anamorphic HR T4
19-36mm Arri Anamorphic Ultra Wide Zoom T4.2
35-140mm Cooke Anamorphic Zoom T3.1
35-140mm Cooke Anamorphic SF Zoom T3.1
45-90mm Hawk V-Plus T2.8
80-180mm Hawk V-Plus Anamorphic T2.8
45-90mm Hawk V-Plus Vintage ‘74 T2.8
80-180mm Hawk V-Plus Vintage ‘74 T2.8
138-405mm Scorpio Anamorphic Zoom T4.3
35-70mm P+S Technik Technovision 1.5x T3.2
21-56mm Angenieux Optimo Ultra Compact Zoom 
37-102mm Angenieux Optimo Ultra Compact T2.9
16-32mm Arri Signature Zoom T2.8
24-75mm Arri Signature Zoom T2.8
45-135mm Arri Signature Zoom T2.8
65-300mm ARRI Signature Zoom T2.8
19-40mm Cooke Varotal FF Zoom T2.9
30-95mm Cooke Varotal FF Zoom T2.9
85-215mm Cooke Varotal FF Zoom T2.9
18-35mm DZOFilm Catta Ace VV Zoom T2.9
18-28mm DZOFilm X-Tract FF Probe T8
35-80mm DZOFilms Catta Ace VV Zoom T2.9
70-135mm DZOFilms Catta Ace VV Zoom T2.9
19-45mm Fujinon Premista Zoom T2.9
28-100mm Fujinon Premista Zoom T2.9
80-250mm Fujinon Premista Zoom T2.9
27-128mm Renaissance T3.6
135mm Xelmus Apollo Anamorphic T2.8
25-75mm Leitz Zoom T2.8
55-125mm Leitz Zoom T2.8
16-32mm Masterbuilt Variable Zoom T3.0
27-60mm Masterbuilt Zoom T2.9
25-125mm Masterbuilt Zoom T3.2
15-30mm Zeiss Compact Zoom T2.9
28-80mm Zeiss Compact Zoom T2.9
70-200mm Zeiss Compact Zoom T2.9
70-200mm Zeiss Compact Zoom T2.10
70-200mm Zeiss Compact Zoom T2.11
70-200mm Zeiss Compact Zoom T2.12
25-250/44-440 Angenieux Optimo Front
44-440mm Angenieux A-2S Anamorphic Optimo T4.5 - Rear
15-40/22-60 EZ-2 Front
15-40mm Angenieux EZ-2 Rear (S35)
22-60mm Angenieux EZ-2 T3 - Rear (FF) 
30-90/45-135 Angenieux EZ-1 Front
30-90mm Angenieux EZ-1 T2 - Rear (S35)
45-135mm Angenieux EZ-1 T3 - Rear (FF) 
24-290/26-320/36-435 Angenieux Optimo Ultra Front
24-290mm Angenieux Optimo Ultra T2.8 - Rear
26-320 Angenieux Optimo Ultra T3.1 - Rear
36-435mm Angenieux Optimo Ultra T4.2 - Rear
20-120/24-144/33-198mm Angenieux Zoom T2.9 - Ancient Optics
20-120mm Angenieux Zoom REAR - Ancient Optics
24-144mm Angenieux Zoom REAR - Ancient Optics
33-198mm Angenieux Zoom REAR - Ancient Optics
24-75mm/35-105 Canon FD Zoom T2.9 - Ancient Optics 
24-75mm Canon FD Zoom REAR - Ancient Optics 
35-105mm Canon FD Zoom REAR - Ancient Optics 
5.9mm Angenieux T2
7-81mm Angenieux HR T2.4
9.5-57mm Angenieux T1.9
11.5-138mm Angenieux T2.3
10.6-180mm Canon T2.7
6.6-66mm Canon T2.7
7-63mm Canon T2.6
8-64mm Canon T2.4
11-165mm Canon T2.5
10-30mm Cooke Zoom T1.6
11-110mm Zeiss Zoom T2.2
12-120mm  Zeiss Zoom T2.4

14-24mm SIGMA E-Mount F2.8
24-70mm SIGMA E-Mount
Fujinon HD HA13x4.5 BERM
Fujinon HD HA18x7.6 BERM
Fujinon HD HA22x7.8 BERM
Fujinon HD HA25x16.5 BERD-S18
Fujinon HD HA42x9.7 ERD-U48
Fujinon HD ZA12x4.5 BERM
Fujinon HD ZA17x7.6 ERM
Fujinon HD ZA22x7.6 ERM
12-24mm SONY FE f/2.8 GM
16-35mm Sony GM F2.8 
16-35mm Sony GM F2.8
16-35mm Sony GM F2.8 Mark II
24-70mm Sony GM F2.8
24-70mm Sony FE GM II F2.8
24-105mm Sony FE F4 OSS Lens
28-135mm G OSS Full-Frame Zoom Lens F4 (Paired With FR7's)
70-200mm Sony FE F2.8 GM OSS II Lens 
100-400mm Sony FE f/4.5-5.6 GM OSS Lens 
200-600mm Sony FE F5.6-6.3 G OSS Lens 
12-24mm Sony F4 E-Mount
16-35mm Sony Vario-Tessar F4
24-70mm Sony Vario-Tessar F4
20-70mm Sony G Series F4 E-Mount Lens
FE C 16-35mm G Sony Zoom T3.1 
35mm Sony Sonnar T* FE E-Mount f/2.8 ZA
55mm Sony Sonnar F1.8
24mm Canon EF-S F2.8 STM
14mm Canon EF T2.8 L Series
20mm Canon EF T2.8
20mm Canon EF T2.9
20mm Canon EF T2.10
24mm Canon EF F1.4 L Series II USM
24mm Canon T1.4 L-Series 
28mm Canon T1.8 EF Series
35mm Canon EF F1.4 L Series II USM
35mm Canon T1.4 L-Series 
40mm Canon EF T2.8 STM
50mm Canon T1.2 L Series 
85mm Canon EF F1.2 L Series
85mm Canon EF F1.2 L Series II USM
85mm Canon EF T1.8
100mm Canon EF Macro F2.9 L Series IS USM
16-35mm Canon EF Zoom T2.8
24-70mm Canon EF Zoom T2.8 L Series 
24-70mm Canon EF Zoom F2.8 L Series II USM
24-105mm Canon EF Zoom T4
70-200mm Canon EF Zoom F2.8 L Series I USM
70-200mm Canon EF Zoom F2.8 L Series II USM
70-200mm Canon EF Zoom T2.8 L Series
70-200mm Canon EF Zoom F2.8 L Series II USM IS 
100-400mm Canon EF Zoom F4.5 L Series IS USM
14mm Canon EF CN-E T3.1
24mm Canon EF CN-E T1.5
35MM Canon EF CN-E T1.5
50MM Canon EF CN-E T1.3
85MM Canon EF CN-E T1.3
135MM Canon EF CN-E T2.2
14mm Sony FE GM F1.8
24mm Sony FE GM F1.4
35mm Sony FE GM F1.4
50mm Sony FE GM F1.2
85mm Sony FE GM F1.4
100mm Sony FE GM F2.8
28mm Sony FE E-Mount f/2.0
35mm Sony E-Mount f/1.8
21mm Zeiss Loxia F2.8 E-Mount
25mm Zeiss Loxia F2.4 E-Mount
35mm Zeiss Loxia F2.0 E-Mount
50mm Zeiss Loxia F2.0 E-Mount
10MM Voigtlander Heliar-Hyper Wide Aspherical F5.6 E-mount
10MM Voigtlander Heliar-Hyper Wide Aspherical F5.6 EOS-mount
12MM Voigtlander Ultra Wide-Heliar Aspherical III F5.6 E-mount
15mm Voigtlander Super Wide-Heliar Aspherical III F4.5 E-mount
Optex Primes

27mm Ancient Optics Petzvalux T1.9
38mm Ancient Optics Petzvalux T1.7
44mm Petzvalux T1.7 (LPL) - Ancient Optics
55mm Ancient Optics Petzvalux T1.7
66mm Petzvalux T1.9 (LPL) - Ancient Optics
80mm Ancient Optics Petzvalux T1.9
120mm Ancient Optics Petzvalux T1.9
19mm Fuji EBC T3.8 - Ancient Optics 
24mm Fuji EBC T2.9 - Ancient Optics 
28mm Fuji EBC T2.1 - Ancient Optics 
35mm Fuji EBC T2.1 - Ancient Optics 
50mm Fuji EBC T1.4 - Ancient Optics 
70mm Fuji EBC T2.2 - Ancient Optics 
100mm Fuji EBC T2.9 - Ancient Optics 
135mm Fuji EBC T2.7 - Ancient Optics 
9.8mm Kinoptik Tegea T 2.3 - Ancient Optics
28-70mm Ancient Optics Phenix Zoom T2.8
28-70mm Ancient Optics Phenix Zoom T2.7
28-70mm Ancient Optics Phenix Zoom T2.9
28-70mm Ancient Optics Phenix Zoom T2.10
28-70mm Ancient Optics Phenix Zoom T2.11
28-70mm Ancient Optics Phenix Zoom T2.12
36-82mm Voigtlander Zoomar Zoom T3.1 - GL Optics
35-105mm Canon FD Zoom REAR - Ancient Optics 
33-198mm Angenieux Zoom REAR - Ancient Optics
22mm Tamashii T2.2
26mm Tamashii T2.2
29mm Tamashii T2.2
36mm Tamashii T2.3
42mm Tamashii T2.0
52mm Tamashii T1.9
58mm Tamashii T1.5
88mm Tamashii T2.0
110mm Tamashii T1.9
25mm Series 65 T3.6 (LPL) - Ancient Optics
30mm Series 65 T3.6 (LPL) - Ancient Optics
35mm Series 65 T3.6 (LPL) - Ancient Optics
45mm Series 65 T3.9 (LPL) - Ancient Optics
55mm Series 65 T3.6 (LPL) - Ancient Optics
65mm Sereis 65 T2.9 (LPL) - Ancient Optics
85mm Series 65mm T2.9 (LPL) - Ancient Optics
125mm Series 65 T2.9 (LPL) - Ancient Optics
175mm Series 65mm T2.9 (LPL) - Ancient Optics
21mm Konica hexanon T2.9 - Ancient Optics
28mm Konica Hexanon T2.9 - Ancient Optics
35mm Konica Hexanon T2.1 - Ancient Optics
40mm Konica Hexanon T1.9 - Ancient Optics
50mm Konica Hexanon T1.6 - Ancient Optics
57mm Konica Hexanon T1.3 - Ancient Optics
85mm Konica Hexanon T1.9 - Ancient Optics
135mm Konica Hexanon T2.5 - Ancient Optics
35mm Statera Anamorphic 1.5x T2.1 - Ancient Optics (LPL)
40mm Statera Anamorphic 1.5x T2.1 - Ancient Optics (LPL)
50mm Statera Anamorphic 1.5x T2.1 - Ancient Optics
75mm Statera Anamorphic 1.5x T2.1 - Ancient Optics
95mm Statera Anamorphic 1.5x T2.1 - Ancient Optics
135mm Statera Anamorphic 1.5x T2.1 - Ancient Optics

18mm Angenieux Optimo Prime T1.8
21mm Angenieux Optimo Prime T1.8
24mm Angenieux Optimo Prime T1.8
28mm Angenieux Optimo Prime T1.8
32mm Angenieux Optimo Prime T1.8
40mm Angenieux Optimo Prime T1.8
50mm Angenieux Optimo Prime T1.8
60mm Angenieux Optimo Prime T1.8
75mm Angenieux Optimo Prime T1.8
100mm Angenieux Optimo Prime T1.8
135mm Angenieux Optimo Prime T1.8
200mm Angeniieux Optimo Prime T1.8
12mm ARRI Signature Prime T1.8 (LPL)
15mm ARRI Signature Prime T1.8 (LPL)
18mm ARRI Signature Prime T1.8 (LPL)
21mm ARRI Signature Prime T1.8 (LPL)
25mm Arri Signature Prime T1.8 (LPL)
29mm Arri Signature Prime T1.8 (LPL)
35mm Arri Signature Prime T1.8 (LPL)
40mm Arri Signature Prime T1.8 (LPL)
47mm Arri Signature Prime T1.8 (LPL)
58mm Arri Signature Prime T1.8 (LPL)
75mm Arri Signature Prime T1.8 (LPL)
95mm Arri Signature Prime T1.8 (LPL)
125mm Arri Signature Prime T1.8 (LPL)
150mm ARRI Signature Prime T1.8 (LPL)
200mm ARRI Signature Prime T2.5 (LPL)
280mm Arri Signature Prime T2.8 (LPL)
18mm Canon K-35 T1.5 - TLS
18mm Canon K-35 T1.5 - TLS  (Doesn't cover Full Frame/Vista Vision - Able to be split from set if this is the reason DP cant use it)
18mm Canon K-35 T2.8 - TLS  (Doesn't cover Full Frame/Vista Vision)
24mm Canon K-35 T1.3 - TLS
24mm Canon K-35 T1.5 - TLS
24mm Canon K-35 T1.6 - TLS (Doesn't cover Full Frame/Vista Vision)
35mm Canon K-35 T1.3 - TLS
35mm Canon K-35 T1.4 - TLS
45mm Canon K-35 T1.5 - TLS
50mm Canon K-35 T1.3 - TLS
55mm Canon K-35 T1.3 - TLS
55mm Canon K-35 T1.4 - TLS
85mm Canon K-35 T1.3 - TLS
85mm Canon K-35 T1.4 - TLS
18mm Canon K-35 T2.8  (Doesn't cover Full Frame/Vista Vision)
25mm Canon K-35 T1.3 (Doesn't cover Full Frame/Vista Vision)
14mm Canon FD T2.8 - GL Optics
14mm Canon FD T2.9 - GL Optics
20mm Canon FD T2.9 - GL Optics
24mm Canon FD T1.5 - GL Optics
24mm Canon FD T1.6 - GL Optics
28mm Canon FD T2.1 - GL Optics
35mm Canon FD T2.1 - GL Optics
55mm Canon FD T1.3 - GL Optics
85mm Canon FD T1.3 - GL Optics
100mm Canon FD T2.1 - GL Optics
135mm Canon FD T2.1 - GL Optics
200mm Canon FD T2.8 - GL Optics
100mm Canon Prime T2
100mm Canon FD T2 - Optex
135mm Canon FD T2.1
200mm Canon T2.0
14mm Canon FD T2.8 - TLS
14mm Canon FD T2.9 - TLS
20mm Canon FD T2.9 - TLS
28mm Canon FD T2 - TLS
100mm Canon FD T2.1 - TLS
135mm Canon FD T2 - TLS
200mm Canon FD T2.9 - TLS
24mm Canon FD-L Prime T1.5 - TLS
28mm Canon FD-SSC T2.1 - TLS
35mm Canon FD-SSC T2.1 - TLS
50mm Canon FD-L T1.3 - TLS
85mm Canon FD-L T1.3 - TLS
135mm Canon FD T2.1 - TLS
20mm Canon FD T2.9 - Whitepoint Optics
24mm Canon FD T1.5 - Whitepoint Optics
35mm Canon FD T2.1 - Whitepoint Optics
55mm Canon FD T1.3 - Whitepoint Optics
85mm Canon FD T1.3 - Whitepoint Optics
100mm Canon FD T2.1 - Whitepoint Optics
18mm Canon FD-X T1.6 - TLS
